Station Name,Date of Sample,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Detection Limit.1,Detection Limit Unit.1,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
WW199,05/21/2021,9:00:00,Grab,Water,0.5,Dissolved Oxygen - 00300,6.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/21/2021,9:00:00,Composite,Water,,Secchi Depth - 00069,0.49,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/21/2021,9:00:00,Grab,Water,0.5,Temperature - 00011,19.8,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/28/2021,9:10:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.95,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/28/2021,9:10:00,Composite,Water,,Secchi Depth - 00069,0.52,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/28/2021,9:10:00,Grab,Water,0.1,Temperature - 00011,20.5,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/28/2021,9:10:00,Grab,Water,0.5,Temperature - 00011,20.5,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,Alkalinity - 00410,69.8,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.95,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,Dissolved Oxygen - 00300,8.1,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,Enterococci - 31639,10.3,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,Fecal Coliform - 74055,13.4,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.125,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.043,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",2.012,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,pH - 00400,8.1,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",7.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,"Phosphorus, Total - 00665",107.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Composite,Water,,Secchi Depth - 00069,0.48,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.1,Temperature - 00011,18.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/03/2021,9:45:00,Grab,Water,0.5,Temperature - 00011,18.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/18/2021,8:45:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.95,m,,0.1,m,0.1,m,,,,,,,cyanobacteria bloom - murky green/gray water,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/18/2021,8:45:00,Grab,Water,0.5,Dissolved Oxygen - 00300,8.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,cyanobacteria bloom - murky green/gray water,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/18/2021,8:45:00,Composite,Water,,Secchi Depth - 00069,0.21,m,,0.1,m,0.1,m,,,,,,,cyanobacteria bloom - murky green/gray water,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/18/2021,8:45:00,Grab,Water,0.5,Temperature - 00011,23.1,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,cyanobacteria bloom - murky green/gray water,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/25/2021,9:24:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.9,m,,0.1,m,0.1,m,,,,,,,cyanobacteria bloom,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/25/2021,9:24:00,Composite,Water,,Secchi Depth - 00069,0.4,m,,0.1,m,0.1,m,,,,,,,cyanobacteria bloom,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/25/2021,9:24:00,Grab,Water,0.1,Temperature - 00011,23.2,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,cyanobacteria bloom,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,06/25/2021,9:24:00,Grab,Water,0.5,Temperature - 00011,23.1,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,cyanobacteria bloom,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,Alkalinity - 00410,66.3,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.9,m,,0.1,m,0.1,m,,,,,,,water cloudy - cyanobacteria,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,Dissolved Oxygen - 00300,5.9,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,water cloudy - cyanobacteria,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,Enterococci - 31639,605.0,MPN/100,,10.0,MPN/100,10.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,Fecal Coliform - 74055,663.0,MPN/100,,10.0,MPN/100,10.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.065,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.33,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",3.334,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,pH - 00400,7.5,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",19.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,"Phosphorus, Total - 00665",219.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Composite,Water,,Secchi Depth - 00069,0.26,m,,0.1,m,0.1,m,,,,,,,water cloudy - cyanobacteria,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.1,Temperature - 00011,23.8,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,water cloudy - cyanobacteria,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/10/2021,9:10:00,Grab,Water,0.5,Temperature - 00011,23.4,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,water cloudy - cyanobacteria,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/23/2021,10:55:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.0,m,,0.1,m,0.1,m,,,,,,,heavy green color in water - pea soup,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/23/2021,10:55:00,Grab,Water,0.5,Dissolved Oxygen - 00300,9.9,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,heavy green color in water - pea soup,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/23/2021,10:55:00,Composite,Water,,Secchi Depth - 00069,0.26,m,,0.1,m,0.1,m,,,,,,,heavy green color in water - pea soup,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/23/2021,10:55:00,Grab,Water,0.1,Temperature - 00011,26.3,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,heavy green color in water - pea soup,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,07/23/2021,10:55:00,Grab,Water,0.5,Temperature - 00011,26.1,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,heavy green color in water - pea soup,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,Alkalinity - 00410,56.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.0,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,Dissolved Oxygen - 00300,8.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Replicate,Water,0.5,Enterococci - 31639,24.4,MPN/100,,4.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,Enterococci - 31639,51.2,MPN/100,,4.0,MPN/100,4.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,Fecal Coliform - 74055,16.4,MPN/100,,4.0,MPN/100,4.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.017,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.023,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",3.75,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,pH - 00400,9.7,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",2.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,"Phosphorus, Total - 00665",304.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Composite,Water,,Secchi Depth - 00069,0.2,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.1,Temperature - 00011,26.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,08/11/2021,11:30:00,Grab,Water,0.5,Temperature - 00011,25.8,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/05/2021,8:35:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.25,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/05/2021,8:35:00,Grab,Water,0.5,Dissolved Oxygen - 00300,8.1,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/05/2021,8:35:00,Composite,Water,,Secchi Depth - 00069,0.25,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/05/2021,8:35:00,Grab,Water,0.1,Temperature - 00011,21.6,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/05/2021,8:35:00,Grab,Water,0.5,Temperature - 00011,21.5,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,Alkalinity - 00410,46.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.15,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,Dissolved Oxygen - 00300,8.1,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,Enterococci - 31639,310.4,MPN/100,,4.0,MPN/100,4.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,Fecal Coliform - 74055,541.6,MPN/100,,4.0,MPN/100,4.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.032,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.067,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",3.049,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,pH - 00400,8.2,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,09/10/2021,12:13:00,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",64.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
