Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,Watershed Code,Monitor 1,Monitor 2
WW145,10/02/2016,11:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.0,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,10/21/2016,10:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.0,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW199,05/14/2016,10:20:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.75,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,06/04/2016,10:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",,m,N,0.1,m,0.1,m,,,,,,,Not reported,Almy Pond,CC,Addlem,Freeman
WW199,06/11/2016,10:55:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.7,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,06/18/2016,1:05:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.47,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,
WW199,06/25/2016,10:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.66,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,07/02/2016,10:19:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.7,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,07/09/2016,10:53:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.6,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,07/23/2016,10:37:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.56,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,08/06/2016,12:28:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.5,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,08/20/2016,11:07:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.5,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,09/03/2016,12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.44,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,09/17/2016,12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.36,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW199,10/08/2016,11:25:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",0.5,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,CC,Addlem,Freeman
WW145,05/28/2016,11:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,8.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,05/28/2016,11:30:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,6.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,06/11/2016,9:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,7.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,06/11/2016,9:30:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,5.7,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/04/2016,12:30:00 PM,Grab,Water,1.0,Dissolved Oxygen - 00300,7.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/04/2016,12:30:00 PM,Grab,Water,6.0,Dissolved Oxygen - 00300,5.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/10/2016,11:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,6.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/10/2016,11:30:00 AM,Grab,Water,6.2,Dissolved Oxygen - 00300,3.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/23/2016,9:45:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,7.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/23/2016,9:45:00 AM,Grab,Water,6.2,Dissolved Oxygen - 00300,1.9,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/30/2016,10:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,7.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/30/2016,10:30:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,1.1,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,08/14/2016,12:00:00 PM,Grab,Water,1.0,Dissolved Oxygen - 00300,7.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,08/14/2016,12:00:00 PM,Grab,Water,6.0,Dissolved Oxygen - 00300,3.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,08/27/2016,9:00:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,8.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,08/27/2016,9:00:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,4.9,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,09/10/2016,10:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,9.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,09/10/2016,10:30:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,5.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,10/02/2016,11:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,8.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,10/02/2016,11:30:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,8.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,10/21/2016,10:00:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,9.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,10/21/2016,10:00:00 AM,Grab,Water,5.9,Dissolved Oxygen - 00300,7.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,06/11/2016,,Grab,Water,0.5,Enterococci - 31639,5.2,MPN/100ml,,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100ml,U,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,9:30:00 AM,Grab,Water,0.5,Enterococci - 31639,2.0,MPN/100ml,,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,0.5,Enterococci - 31639,30.0,MPN/100ml,,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Stafford Pond,TA,,
WW199,05/14/2016,,Grab,Water,0.5,Enterococci - 31639,44.0,MPN/100ml,,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Almy Pond,CC,,
WW199,07/23/2016,,Grab,Water,0.5,Enterococci - 31639,1.0,MPN/100ml,U,10.0,MPN/100ml,10.0,MPN/100ml,URIWW,,,,,,,Almy Pond,CC,,
WW145,06/11/2016,,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,06/11/2016,,Grab,Water,6.0,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.03,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,6.2,"Nitrate + Nitrite, Dissolved - 00631",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,6.0,"Nitrate + Nitrite, Dissolved - 00631",0.025,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.055,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,5.9,"Nitrate + Nitrite, Dissolved - 00631",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Duplicate,Water,5.9,"Nitrate + Nitrite, Dissolved - 00631",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,TA,,
WW199,05/14/2016,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,CC,,
WW199,07/23/2016,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,CC,,
WW145,06/11/2016,,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,06/11/2016,,Grab,Water,6.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,6.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.055,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.09,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,6.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.075,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.125,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,5.9,"Nitrogen, Ammonia Dissolved as N - 00608",0.115,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Duplicate,Water,5.9,"Nitrogen, Ammonia Dissolved as N - 00608",0.115,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,TA,,
WW199,05/14/2016,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,CC,,
WW199,07/23/2016,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.065,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,CC,,
WW145,06/11/2016,,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.645,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,06/11/2016,,Grab,Water,6.0,"Nitrogen, Total (unfiltered) - 00600",0.565,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.675,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,6.2,"Nitrogen, Total (unfiltered) - 00600",0.575,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.44,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,6.0,"Nitrogen, Total (unfiltered) - 00600",0.63,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.735,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,5.9,"Nitrogen, Total (unfiltered) - 00600",0.815,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Stafford Pond,TA,,
WW199,05/14/2016,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",1.72,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Almy Pond,CC,,
WW199,07/23/2016,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",19.765,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Almy Pond,CC,,
