Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed,Unnamed: 25
WW005,8/8/2020,12:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.3,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,0.5,Enterococci - 31639,8.0,MPN/100,,4.0,MPN/100,4.0,MPN/100,URIWW,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.025,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.644,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,pH - 00400,7.7,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",4.0,ug/l,,2.5,ug/l,2.5,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,"Phosphorus, Total - 00665",31.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Composite,Water,,Secchi Depth - 00069,1.12,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,Temperature - 00011,27.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/23/2020,14:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",62.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/23/2020,14:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.3,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/23/2020,14:00:00,Composite,Water,,Secchi Depth - 00069,0.88,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/23/2020,14:00:00,Grab,Water,1.0,Temperature - 00011,26.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/31/2020,15:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.35,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/31/2020,15:30:00,Composite,Water,,Secchi Depth - 00069,0.5,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/31/2020,15:30:00,Grab,Water,1.0,Temperature - 00011,24.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,9/6/2020,16:45:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",108.0,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,9/6/2020,16:45:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,9/6/2020,16:45:00,Composite,Water,,Secchi Depth - 00069,0.43,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,9/6/2020,16:45:00,Grab,Water,1.0,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/3/2020,13:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",241.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/3/2020,13:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/3/2020,13:30:00,Composite,Water,,Secchi Depth - 00069,0.64,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/3/2020,13:30:00,Grab,Water,1.0,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/14/2020,17:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/14/2020,17:00:00,Composite,Water,,Secchi Depth - 00069,0.52,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/14/2020,17:00:00,Grab,Water,1.0,Temperature - 00011,16.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/17/2020,15:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",163.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/17/2020,15:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.35,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/17/2020,15:30:00,Composite,Water,,Secchi Depth - 00069,0.7,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/17/2020,15:30:00,Grab,Water,1.0,Temperature - 00011,16.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,Alkalinity - 00410,34.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,Chloride - 00940,138.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",103.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,0.5,Enterococci - 31639,8.2,MPN/100,,2.0,MPN/100,2.0,MPN/100,URIWW,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.017,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.021,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",1.245,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,pH - 00400,6.3,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",6.0,ug/l,,2.5,ug/l,2.5,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,"Phosphorus, Total - 00665",32.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Composite,Water,,Secchi Depth - 00069,0.8,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,10/24/2020,13:30:00,Grab,Water,1.0,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW006,6/6/2020,10:20:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",5.0,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/6/2020,10:20:00,Composite,Water,,Secchi Depth - 00069,3.48,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/6/2020,10:20:00,Grab,Water,0.1,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/6/2020,10:20:00,Grab,Water,1.0,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/6/2020,10:20:00,Grab,Water,4.0,Temperature - 00011,16.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,Alkalinity - 00410,8.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,Chloride - 00940,80.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,Chloride - 00940,73.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,Dissolved Oxygen - 00300,7.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,Dissolved Oxygen - 00300,5.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,0.5,Enterococci - 31639,17.3,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Replicate,Water,0.5,Enterococci - 31639,6.3,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.266,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,"Nitrate + Nitrite, Dissolved - 00631",0.236,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.089,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.049,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.488,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,"Nitrogen, Total (unfiltered) - 00600",0.467,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,pH - 00400,7.4,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,pH - 00400,6.2,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,"Phosphorus, Dissolved - 00666",5.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,"Phosphorus, Total - 00665",18.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,"Phosphorus, Total - 00665",11.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Composite,Water,,Secchi Depth - 00069,3.17,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,0.1,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,1.0,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/13/2020,10:00:00,Grab,Water,4.0,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/20/2020,10:10:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",5.0,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/20/2020,10:10:00,Composite,Water,,Secchi Depth - 00069,3.39,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/20/2020,10:10:00,Grab,Water,0.1,Temperature - 00011,24.5,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/20/2020,10:10:00,Grab,Water,1.0,Temperature - 00011,25.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/20/2020,10:10:00,Grab,Water,4.0,Temperature - 00011,18.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/25/2020,10:10:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",8.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Boone Lake,Wood River,WD,Becky Sprague,
WW006,6/25/2020,10:10:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",5.05,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
