Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,MONITOR 1,MONITOR 2,Watershed,Watershed Code
WW005,5/11/2019,12:30:00 PM,Grab,Water,1,"Phosphorus, Dissolved - 00666",5.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Grab,Water,1,"Phosphorus, Total - 00665",22.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,1:00:00 PM,Composite,Water,,Secchi Depth - 00069,3.51,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,1:00:00 PM,Grab,Water,1,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/18/2019,1:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/18/2019,1:30:00 PM,Composite,Water,,Secchi Depth - 00069,1.98,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/18/2019,1:30:00 PM,Grab,Water,1,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/26/2019,2:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",6.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/26/2019,2:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/26/2019,2:00:00 PM,Composite,Water,,Secchi Depth - 00069,1.73,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/26/2019,2:00:00 PM,Grab,Water,1,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/2/2019,5:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/2/2019,5:30:00 PM,Composite,Water,,Secchi Depth - 00069,1.99,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/2/2019,5:30:00 PM,Grab,Water,1,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/8/2019,5:30:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/8/2019,5:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/8/2019,5:30:00 PM,Composite,Water,,Secchi Depth - 00069,3.16,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/8/2019,5:30:00 PM,Grab,Water,1,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/23/2019,6:30:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/23/2019,6:30:00 PM,Composite,Water,,Secchi Depth - 00069,3.74,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/23/2019,6:30:00 PM,Grab,Water,1,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/29/2019,1:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/29/2019,1:30:00 PM,Composite,Water,,Secchi Depth - 00069,2.07,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,6/29/2019,1:30:00 PM,Grab,Water,1,Temperature - 00011,26.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/7/2019,4:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",7.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/7/2019,4:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/7/2019,4:00:00 PM,Composite,Water,,Secchi Depth - 00069,2.02,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/7/2019,4:00:00 PM,Grab,Water,1,Temperature - 00011,25.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/16/2019,1:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.3,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/16/2019,1:00:00 PM,Composite,Water,,Secchi Depth - 00069,1.66,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,Alkalinity - 00410,33.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",8.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,0.5,Enterococci - 31639,2.0,MPN/100,,2.0,MPN/100,2.0,MPN/100,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.49,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.97,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,pH - 00400,6.4,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,"Phosphorus, Dissolved - 00666",7.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,"Phosphorus, Total - 00665",28.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Composite,Water,,Secchi Depth - 00069,2.0,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/20/2019,12:00:00 PM,Grab,Water,1,Temperature - 00011,29.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/30/2019,6:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/30/2019,6:30:00 PM,Composite,Water,,Secchi Depth - 00069,0.96,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,7/30/2019,6:30:00 PM,Grab,Water,1,Temperature - 00011,30.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/3/2019,5:30:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",59.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/3/2019,5:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/3/2019,5:30:00 PM,Composite,Water,,Secchi Depth - 00069,0.75,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/3/2019,5:30:00 PM,Grab,Water,1,Temperature - 00011,29.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/11/2019,3:30:00 PM,Composite,Water,,Secchi Depth - 00069,0.74,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/11/2019,3:30:00 PM,Grab,Water,1,Temperature - 00011,27.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/25/2019,2:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",55.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/25/2019,2:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/25/2019,2:00:00 PM,Composite,Water,,Secchi Depth - 00069,0.62,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/25/2019,2:00:00 PM,Grab,Water,1,Temperature - 00011,25.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/31/2019,2:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/31/2019,2:00:00 PM,Composite,Water,,Secchi Depth - 00069,0.7,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,8/31/2019,2:00:00 PM,Grab,Water,1,Temperature - 00011,25.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/8/2019,4:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",61.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/8/2019,4:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/8/2019,4:00:00 PM,Composite,Water,,Secchi Depth - 00069,0.7,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/8/2019,4:00:00 PM,Grab,Water,1,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/15/2019,3:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/15/2019,3:30:00 PM,Composite,Water,,Secchi Depth - 00069,0.62,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/15/2019,3:30:00 PM,Grab,Water,1,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/21/2019,2:30:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",99.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/21/2019,2:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/21/2019,2:30:00 PM,Composite,Water,,Secchi Depth - 00069,0.98,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/21/2019,2:30:00 PM,Grab,Water,1,Temperature - 00011,20.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/29/2019,2:45:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/29/2019,2:45:00 PM,Composite,Water,,Secchi Depth - 00069,0.92,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,9/29/2019,2:45:00 PM,Grab,Water,1,Temperature - 00011,22.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/6/2019,12:30:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",36.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/6/2019,12:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/6/2019,12:30:00 PM,Composite,Water,,Secchi Depth - 00069,1.41,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/6/2019,12:30:00 PM,Grab,Water,1,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/12/2019,1:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/12/2019,1:30:00 PM,Composite,Water,,Secchi Depth - 00069,1.23,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/12/2019,1:30:00 PM,Grab,Water,1,Temperature - 00011,15.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/19/2019,2:30:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",95.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/19/2019,2:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/19/2019,2:30:00 PM,Composite,Water,,Secchi Depth - 00069,1.06,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/19/2019,2:30:00 PM,Grab,Water,1,Temperature - 00011,15.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,Alkalinity - 00410,35.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,Chloride - 00940,105.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",63.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,0.5,Enterococci - 31639,8.0,MPN/100,,4.0,MPN/100,4.0,MPN/100,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.395,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.1,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.36,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,pH - 00400,7.6,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,"Phosphorus, Dissolved - 00666",9.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,10/21/2019,11:00:00 AM,Grab,Water,1,"Phosphorus, Total - 00665",15.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW006,5/11/2019,10:00:00 AM,Grab,Water,1,Alkalinity - 00410,5.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,Beeky Sprague,Tony Zaharie,Wood River,WD
WW006,5/11/2019,10:00:00 AM,Grab,Water,1,Alkalinity - 00410,9.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,Replicate,Boone Lake,Beeky Sprague,Tony Zaharie,Wood River,WD
WW006,5/11/2019,10:00:00 AM,Grab,Water,1,Chloride - 00940,81.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Boone Lake,Beeky Sprague,Tony Zaharie,Wood River,WD
WW006,5/11/2019,10:00:00 AM,Grab,Water,4,Chloride - 00940,72.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Boone Lake,Beeky Sprague,Tony Zaharie,Wood River,WD
WW006,5/11/2019,10:00:00 AM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",7.0,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Boone Lake,Beeky Sprague,Tony Zaharie,Wood River,WD
WW006,5/11/2019,10:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",5.0,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Beeky Sprague,Tony Zaharie,Wood River,WD
