Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW99,8/7/2015,,Grab,Water,0.2,Enterococci - 31639,531,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water,0.2,Fecal Coliform - 74055,31,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water,0.3,"Nitrate + Nitrite, Dissolved - 00631",2.485,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water,0.3,"Nitrogen, Total (unfiltered) - 00600",3.655,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water,0.2,pH - 00400,7.2,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water ,0.3,"Phosphorus, Dissolved - 00666",6,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 11 - Mettatuxet Brook
WW99,8/7/2015,,Grab,Water,0.3,"Phosphorus, Total - 00665",68,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,9/1/2015,,Grab,Water,0.2,Enterococci - 31639,103.6,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,9/1/2015,,Grab,Water,0.2,Fecal Coliform - 74055,41.6,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water,0.2,Enterococci - 31639,201.6,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,Run on 9/21/15,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water,0.2,Fecal Coliform - 74055,395.2,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,Run on 9/21/15,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water,0.3,"Nitrate + Nitrite, Dissolved - 00631",2.695,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.008,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water,0.3,"Nitrogen, Total (unfiltered) - 00600",2.7,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water ,0.3,"Phosphorus, Dissolved - 00666",19,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 11 - Mettatuxet Brook
WW99,9/20/2015,,Grab,Water,0.3,"Phosphorus, Total - 00665",27,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,10/4/2015,,Grab,Water,0.2,Enterococci - 31639,20,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,10/4/2015,,Grab,Water,0.2,Fecal Coliform - 74055,63,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water,0.2,Enterococci - 31639,218.4,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water,0.2,Fecal Coliform - 74055,0.4,MPN/100ml,U,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water,0.3,"Nitrate + Nitrite, Dissolved - 00631",2.715,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.025,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water,0.3,"Nitrogen, Total (unfiltered) - 00600",2.91,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water ,0.3,"Phosphorus, Dissolved - 00666",15,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 11 - Mettatuxet Brook
WW99,10/17/2015,,Grab,Water,0.3,"Phosphorus, Total - 00665",25,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 11 - Mettatuxet Brook
WW98,5/8/2015,,Grab,Water,0.33,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,5/8/2015,8:00:00 AM,Grab,Water,0.33,Dissolved Oxygen - 00300,7.25,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water ,0.33,Enterococci - 31639,10,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water,0.33,Fecal Coliform - 74055,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Duplicate,Water,0.33,Fecal Coliform - 74055,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water,0.33,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water,0.33,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water,0.33,"Nitrogen, Total (unfiltered) - 00600",0.29,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water,0.33,pH - 00400,7.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water ,0.33,"Phosphorus, Dissolved - 00666",10,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 10 - Sprague Bridge
WW98,5/8/2015,,Grab,Water,0.33,"Phosphorus, Total - 00665",20,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 10 - Sprague Bridge
WW98,5/8/2015,8:00:00 AM,Grab,Water,0.33,"Salinity, (ppt) - 00480",31,ppt,,0.4,ppt,0.4,ppt,URIWW,,Low,NR 10 - Sprague Bridge
WW98,5/8/2015,8:00:00 AM,Grab,Water,0.33,Temperature - 00011,11.2,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,5/21/2015,,Grab,Water,0.33,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,5/21/2015,9:20:00 AM,Grab,Water,0.33,Dissolved Oxygen - 00300,7.35,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,5/21/2015,9:20:00 AM,Grab,Water,0.33,"Salinity, (ppt) - 00480",24,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 10 - Sprague Bridge
WW98,5/21/2015,9:20:00 AM,Grab,Water,0.33,Temperature - 00011,13,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,6/4/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,6/4/2015,8:40:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,7.6,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,6/4/2015,8:40:00 AM,Grab,Water,0.5,Temperature - 00011,15,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,6/19/2015,8:40:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,5.75,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water ,0.5,Enterococci - 31639,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,Fecal Coliform - 74055,75,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.345,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,pH - 00400,7.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water ,0.5,"Phosphorus, Dissolved - 00666",10,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 10 - Sprague Bridge
WW98,6/19/2015,,Grab,Water,0.5,"Phosphorus, Total - 00665",30,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 10 - Sprague Bridge
WW98,6/19/2015,8:40:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",33.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 10 - Sprague Bridge
WW98,6/19/2015,8:40:00 AM,Grab,Water,0.5,Temperature - 00011,19.9,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,7/3/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,7/3/2015,,Grab,Water,0.5,Dissolved Oxygen - 00300,6.15,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,7/3/2015,,Grab,Water,0.5,Temperature - 00011,19.9,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,7/18/2015,8:30:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,4.5,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water ,0.5,Enterococci - 31639,10,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,Fecal Coliform - 74055,53,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.02,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.125,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.335,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,pH - 00400,7.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water ,0.5,"Phosphorus, Dissolved - 00666",20,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 10 - Sprague Bridge
WW98,7/18/2015,,Grab,Water,0.5,"Phosphorus, Total - 00665",31,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 10 - Sprague Bridge
WW98,7/18/2015,8:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",32,ppt,,0.4,ppt,0.4,ppt,URIWW,,Ebb,NR 10 - Sprague Bridge
WW98,7/18/2015,8:30:00 AM,Grab,Water,0.5,Temperature - 00011,22.8,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,8/2/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,8/2/2015,9:00:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,6.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,8/2/2015,9:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",33,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 10 - Sprague Bridge
WW98,8/2/2015,9:00:00 AM,Grab,Water,0.5,Temperature - 00011,21.2,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,8/7/2015,10:00:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,5.65,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water ,0.5,Enterococci - 31639,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,Fecal Coliform - 74055,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.02,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.405,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,pH - 00400,7.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water ,0.5,"Phosphorus, Dissolved - 00666",15,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 10 - Sprague Bridge
WW98,8/7/2015,,Grab,Water,0.5,"Phosphorus, Total - 00665",22,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 10 - Sprague Bridge
WW98,8/7/2015,10:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",26.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Low,NR 10 - Sprague Bridge
WW98,8/7/2015,10:00:00 AM,Grab,Water,0.5,Temperature - 00011,23.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,8/21/2015,,Grab,Water,0.33,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,8/21/2015,9:30:00 AM,Grab,Water,0.33,Dissolved Oxygen - 00300,3.88,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,8/21/2015,9:30:00 AM,Grab,Water,0.33,Temperature - 00011,26.4,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,8/30/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,9/4/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,9/4/2015,8:40:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,4.8,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,9/4/2015,8:40:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",34.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Ebb,NR 10 - Sprague Bridge
WW98,9/4/2015,8:40:00 AM,Grab,Water,0.5,Temperature - 00011,23.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 10 - Sprague Bridge
WW98,9/18/2015,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",13.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,NR 10 - Sprague Bridge
WW98,9/18/2015,8:20:00 AM,Grab,Water,0.5,Dissolved Oxygen - 00300,4.05,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,NR 10 - Sprague Bridge
WW98,9/18/2015,,Grab,Water ,0.5,Enterococci - 31639,10,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 10 - Sprague Bridge
